CODIGO,NOMBRE,NOMBRE PROVEEDOR,OBSERVACIONES,MEDIDA,CODIGO DE BARRAS,COD REFERENCIA
813115051,ANILLAS WARNE MAXIMA HORIZONTAL 30MM MEDIUM QD,"BORCHERS, SA",MEDIAS,,"6,57E+11",4879442
4879410,ANILLAS WARNE MAXIMA HORIZONTAL 513M 30mm BAJA,"BORCHERS, SA",,,4879410,4879410
813106776,ANILLAS WARNE MAXIMA HORIZONTAL 514M 30mm MEDIA,"BORCHERS, SA",,,"6,57E+11",4879412
813106783,ANILLAS WARNE MAXIMA HORIZONTAL 515M 30 mm HIGH,"BORCHERS, SA",,,"6,57E+11",4879414
813114856,ANILLAS WARNE MAXIMA HORIZONTAL 522M,"BORCHERS, SA",,,"6,57E+11",522M
4879612,ANILLAS WARNE VAPOR  V401M,"BORCHERS, SA",,,4879612,V401M
813107162,ANILLAS WARNE VAPOR 30 MM ALTAS,"BORCHERS, SA",FIJA,30MM HIGH,"6,57E+11",4879604
813107155,ANILLAS WARNE VAPOR 30 MM MEDIANAS,"BORCHERS, SA",FIJAS,30MM MEDIUM,"6,57E+11",4879602
813113330,ANILLAS WARNE VAPOR HORIZONTAL 30 MM MEDIANAS,"BORCHERS, SA",,,"6,57E+11",4879702
813113347,ANILLAS WARNE VAPOR HORIZONTAL 30MM ALTAS,"BORCHERS, SA",FIJAS,30MM HIGH,"6,57E+11",V615M
813107117,ANILLAS WARNE VAPOR V400M,"BORCHERS, SA",,,"6,57E+11",4879610
813107131,ANILLAS WARNE VAPOR V402M,"BORCHERS, SA",,,"6,57E+11",4879614
813108374,ANILLAS WARNE VAPOR V421M,"BORCHERS, SA",,,"6,57E+11",4879622
859522105,ANILLO DE GOMA PARA SUJECION DE ANTENA DOGTRACE,"ARCEA EUROSPORT, SL",,,"8,60E+12",DG724
865001724,ANTENA 4G  PARA ZEISS SECACAM,"NOBEL SPORT ESPAÑA, SAU",,,"4,05E+12",5052970100
10280651,ANTENA GARMIN MAGNETICA ASTRO 220/330,"ELECTRONICA OLAIZ, SL",,,"7,54E+11",
753759082,ANTENA PORTABLE GARMIN  LONG RANGE,"ELECTRONICA OLAIZ, SL",,,"7,54E+11",
859096560,ANTENA RF DOGTRACE PARA COLLARES X20/X30,"ARCEA EUROSPORT, SL",,,"8,60E+12",dg723
859522109,ANTENA RF MANDO DOGTRACE X20/X30,"ARCEA EUROSPORT, SL",,,"8,60E+12",DG722
1010856,ANTGENA GARMIN ALPHA ASTRO,"ELECTRONICA OLAIZ, SL",,,"7,54E+11",
TAXAPLIQU,APLIQUE PARA DISCO DE TRAPO,"IBERIA HUNT TAXIDERMY, SL",,,TAXAPLIQU,APLIQUE
12993221,APOYO 4 STABLESTICKS BLACK ESSENTIAL,"BORCHERS, SA",,,"3,77E+12",7710006
377001291,APOYO 4 STABLESTICKS BUSH ESSENTIAL VERDE,"BORCHERS, SA",,,"3,77E+12",BEG
80145785,APOYO 4 STABLESTICKS BUSH LIGHT,"BORCHERS, SA",,,"3,68E+12",BUSHLIGHT
80372723,APOYO 4 STABLESTICKS ULTIMATE CARBON,"BORCHERS, SA",,,"3,68E+12",ULTCARB
80417639,APOYO 4 STABLESTICKS ULTIMATE LEATHER,"BORCHERS, SA",,,"3,68E+12",
377001293,APOYO 4 STABLESTICKS ULTIMATE WOOD,"BORCHERS, SA",,,"3,77E+12",ULTWOOD
80083469,APOYO 4STABLESTICKS MOUNTAIN STICK,"BORCHERS, SA",,,"3,68E+12",7710030
80409141,APOYO BLASER CARBONO SHOOTING STICK  2.0,"BLASER OUTDOOR GROUP, SL",,,80409141,
135658069,APOYO PRIMOS PARA RIFLE 2 POINT,"BORCHERS, SA",,,10135658069,7700060
00000SC2A,ARMERO INFAC STEEL STEI SC2A GRADO III 254x350x225,"INFAC, SL",,,SC2A,SC2A
00000SC3R,ARMERO INFAC STEEL STEI SC3R GRADO III 254x350x285,"INFAC, SL",,,SC3R,SC3R
00000SC6R,ARMERO INFAC STEEL STEI SC6R GRADO III 500x350x275,"INFAC, SL",,,SC6R,SC6R
0SKBRETON,ARMERO INFAC STEEL STEI SK BRETON 133x25x25 46l,"INFAC, SL",,,SKBRETON,SK BRETON
0000SKP12,ARMERO INFAC STEEL STEI SKP12 140x70x35 244l,"INFAC, SL",,,SKP12,SKP12
00000SKP4,ARMERO INFAC STEEL STEI SKP4 140x27x33 81l,"INFAC, SL",,,SKP4,SKP4
00000SKP6,ARMERO INFAC STEEL STEI SKP6 140x36x35 120l,"INFAC, SL",,,SKP6,SKP6
00000SKP8,ARMERO INFAC STEEL STEI SKP8 140x47x35 161l,"INFAC, SL",,,SKP8,SKP8
832649501,ARNES BINOCULAR BERETTA MODULAR CAMO,"BERETTA BENELLI IBERICA, SA",,,"8,05E+12",bs492t240408c7uni
805183265,ARNES BINOCULAR BERETTA MODULAR VERDE,"BERETTA BENELLI IBERICA, SA",,,"8,05E+12",BS492T240407AAUNI
292372721,ARNES BINOCULAR HART LEMIKK,"SUMINISTROS EVIA, SL",,,"8,43E+12",XHLEK
325077421,ARNES BINOCULAR SWAROVSKI,"J. ESTELLER, SL",,,"9,01E+12","7,08E+11"
843829136,ARNES BINOCULAR VORTEX,"BCN OUTDOOR, SL",,,"8,44E+11",P500-L
481068157,ARNES BLASER 2.0 CAMO,"BLASER OUTDOOR GROUP, SL",,,"4,07E+12",80416063
